TYPE,STATUS,NAME,Bakery,Bar,Bike Shop,Bookstore,Brewpub,Child Care,Cinema,Clothing Store,Coffee Shop,Department Store,Dry Cleaners,Fitness Gym,Grocery Store,Music Store,Restaurant,Specialty Snacks & Beverages,Community Center,Fire Station,Govt. Building,Library,School,<$15000,$15000-$34999,$35000-$49999,$50000-$74999,$75000-$99999,$100000 +,1 mile <$15000,1 mile $15000-$34999,1 mile $35000-$49999,1 mile $50000-$74999,1 mile $75000-$99999,1 mile $100000 +,total_pop,avg_HH_size,med_HH_income,med_age,pct_home_ownership,people_per_acre,du_per_acre,total_biz_acre,total_num_employees,market_value,net_acreage,total_du,total_biz,gross_acreage,total_pop 1-mile,avg_HH_size 1-mile,med_HH_income 1-mile,med_age 1-mile,pct_home_ownership 1-mile,people_per_acre 1-mile,du_per_acre 1-mile,total_biz_acre 1-mile,total_num_employees 1-mile,market_value 1-mile,net_acreage 1-mile,total_du 1-mile,total_biz 1-mile,Parks Access,Transit Access,Bike route density,People per acre,Sidewalk density,Private amenities,Block Size,Composite Score,retail,service,other,Narrative
Town Center,Not Adopted,Sherwood,0,0,0,0,0,0,0,1,2,0,0,1,0,0,11,0,0,0,0,0,0,2.7%,6.7%,12.0%,17.3%,16.0%,45.3%,4.6%,9.7%,10.8%,21.8%,14.9%,38.1%, 138 ,2.60,"$91,097",34,77.9%,16.9,0.8,0.95,1325,48,86,69,82,109," 13,669 ",2.75,"$78,940",32.2,71.8%,5.5,1.6,0.08,3525,12,3120,5000,240,4.12,1.68,2,2.42,2.22,2.52,1.42,33.46,64,27,9,"The Sherwood Town Center is located at the junction of Highway 99 West, an ODOT facility, and Tualatin-Sherwood Road. Sherwood has no direct interstate access. One bus line services the town center and continues to the Old Town portion of downtown Sherwood. Sherwood has 138 residents, 1,325 employees and 69 dwelling units. Sherwood Town Center contains 109 gross acres."
Town Center,Adopted,St. Johns,0,1,1,1,0,0,1,2,4,0,0,1,4,1,19,1,0,0,0,0,1,15.9%,31.0%,17.0%,17.3%,10.5%,8.3%,11.5%,22.0%,16.2%,26.0%,15.5%,8.9%, 437 ,2.12,"$36,853",37.9,43.1%,30.0,5.1,1.83,857,68,43,219,79,70," 18,567 ",2.59,"$50,263",34,52.6%,11.5,3.8,0.11,4575,22,2013,7669,224,4.88,3.72,4,2.95,4.98,3.28,4.58,76.41,28,31,41,"The St. Johns Town Center is located in North Portland, adjacent to the Willamette River. St. Johns has no direct interstate access, but can access U.S. Highway 30 by crossing the Willamette River at the St. Johns Bridge. The area is served by five bus lines, including one frequent service line, allowing for multiple transportation options both in and out of the center. St. Johns has 437 residents, 857 employees and 219 dwelling units. St. Johns Town Center contains 70 gross acres."
Town Center,Not Adopted,Sunset Transit,1,0,0,0,0,1,0,0,2,0,1,0,1,0,6,2,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,5.3%,14.6%,16.5%,21.4%,13.3%,29.0%," 1,939 ",n/a,n/a,n/a,n/a,39.2,4.2,0.80,6221,40,208,879,167,262," 25,243 ",2.32,"$65,233",37.9,55.9%,10.9,3.2,0.16,11412,25,3361,10728,549,3.19,1.77,2.54,2.35,1.86,1.43,1.45,27.07,3,94,3,"The Sunset Transit Town Center in unincorporated Washington County, adjacent to Beaverton, is located at the intersection of several major arterials including Barnes Road, Highway 26, Highway 217 and the MAX. The Sunset Transit Center serves as a transportation hub for the north portion of Washington County and northwest Portland. As a transit center, the area is serviced by multiple bus lines and both Blue and Red Line MAX trains. The center has 1,940 residents, 6,220 employees and 879 dwelling units. Sunset Transit Town Center contains 262 gross acres."
Town Center,Adopted,Tigard,1,0,1,0,0,3,2,3,4,0,2,3,2,0,37,1,0,1,1,0,4,7.6%,16.8%,21.5%,26.6%,13.0%,14.6%,5.6%,13.7%,15.3%,22.9%,14.8%,27.8%," 1,923 ",2.32,"$53,777",32.3,28.6%,15.8,1.7,0.70,6876,30,558,944,389,702," 39,885 ",2.51,"$66,312",37.1,55.8%,12.6,3.1,0.30,26244,31,5259,16177,1597,3.63,1.65,4.33,2.08,2.03,1.58,1.49,34.99,19,36,45,"The Tigard Town Center includes the newly added Tigard Triangle area to the existing town center. The center is focused around the ODOT facility of Highway 99 West and has been chosen as the priority corridor for a study of future high capacity transit expansion in the region. The center is serviced by multiple bus lines and is home to a TriMet transit center and a Westside Express Service (WES) commuter rail station. The center has 1,923 residents, 6,876 employees and 944 dwelling units. Tigard Town Center contains 702 gross acres."
Town Center,Adopted,Troutdale,1,0,0,1,0,0,0,10,0,0,0,0,0,0,7,0,0,0,1,0,2,5.4%,10.6%,22.4%,32.7%,14.1%,14.7%,4.2%,12.1%,14.4%,28.6%,20.1%,20.6%," 1,924 ",2.53,"$58,685",34.3,61.9%,7.9,2.5,0.23,775,17,343,853,80,418," 17,519 ",2.91,"$65,196",31.6,63.4%,5.7,1.5,0.06,6861,12,4287,6471,236,3.72,1.45,2.45,1.64,2.1,1.17,1.63,25.58,57,22,21,"The Troutdale Town Center is located at the eastern end of the region. The center includes a historic main street in downtown Troutdale as well as a significant portion of land west of downtown. The center has direct access to Interstate 84 and contains the historic Columbia River Highway, an ODOT facility. The center has 1,924 residents, 775 employees and 853 dwelling units. Troutdale Town Center contains 418 gross acres."
Town Center,Adopted,Tualatin,0,1,0,0,0,1,0,0,5,2,4,3,3,0,44,3,0,1,1,1,3,5.3%,19.8%,19.6%,26.1%,12.8%,16.4%,5.4%,12.7%,15.3%,26.0%,14.1%,26.5%," 3,636 ",2.05,"$53,704",28.1,5.0%,17.6,4.2,0.67,3332,30,395,1661,266,462," 22,338 ",2.57,"$65,601",33.8,48.6%,10.0,2.3,0.23,16680,23,3912,8834,893,3.93,1.32,2.81,2.48,2.39,2.04,1.22,32.83,35,25,40,"The Tualatin Town Center is located at the intersection of Tualatin-Sherwood and Boones Ferry roads, both major arterials. The center is serviced by multiple bus lines and has a stop on the Westside Express Service (WES) commuter rail line. The center has 3,636 residents, 3,332 employees and 1,660 dwelling units. Tualatin Town Center contains 462 gross acres."
Town Center,Not Adopted,West Linn,1,1,0,0,0,4,0,1,5,0,1,4,2,0,20,1,0,1,0,1,5,3.3%,12.4%,12.6%,20.0%,14.7%,36.9%,6.2%,12.1%,12.6%,21.1%,14.0%,34.0%," 2,492 ",2.44,"$81,054",40.3,72.4%,13.0,2.8,0.53,1620,28,316,896,166,462," 30,016 ",2.58,"$72,217",39,63.5%,6.6,2.0,0.10,8582,17,5872,11690,612,4.51,1.13,2.58,1.8,2.02,1.53,2.77,33.34,31,40,28,"The West Linn town centers are represented by two distinct geographic locations, Bolton and Historic Willamette. Both locations are served by Interstate 205, an ODOT facility. Both centers are also serviced by bus lines. The centers have a combined total of 2,492 residents, 1,620 employees and 896 dwelling units. West Linn town centers contain a combined total of 462 gross acres, 274 in Bolton and 188 in Historic Willamette. Metro context tool results and center boundary map (p. 105) are specific to Historic Willamette. All other data reflect both Historic Willamette and Bolton locations."
Town Center,Not Adopted,West Portland,0,1,0,2,0,3,0,0,1,0,1,1,2,0,12,0,0,0,0,1,2,5.9%,15.3%,20.8%,23.2%,16.0%,18.8%,5.5%,12.8%,13.4%,22.3%,16.5%,29.6%," 2,880 ",2.33,"$59,267",33.1,44.3%,29.4,6.5,0.79,3820,39,228,1489,180,339," 31,327 ",2.32,"$69,668",39.9,63.1%,11.1,4.0,0.18,8546,32,3599,14221,655,4.54,2.19,2.84,2.65,1.59,1.6,2.67,39.56,6,26,68,"The West Portland Town Center is located at the interchange of Highway 99 West. The majority of service activity in the center revolves around Capital Highway and businesses located along Barbur Boulevard. The center is bisected by two ODOT facilities: Interstate 5 and Highway 99 West. The area is serviced by multiple bus lines, with one frequent service line along Barbur Boulevard. It has 2,880 residents, 3,820 employees and 1,489 dwelling units. West Portland Town Center contains 339 gross acres."
Town Center,Adopted,Wilsonville,1,2,0,0,0,2,1,1,1,0,3,3,4,0,26,1,0,0,1,1,1,3.9%,13.5%,13.5%,24.0%,19.3%,25.9%,5.5%,15.2%,15.3%,21.1%,16.6%,26.3%," 1,292 ",2.02,"$68,887",29.7,29.6%,17.8,3.5,0.66,2107,26,191,662,127,230," 13,497 ",2.31,"$65,990",35.8,47.5%,6.8,2.0,0.10,7256,16,3067,6190,311,4.18,1.96,2.76,2.42,2.48,2.24,1.1,36.2,45,24,31,"The Wilsonville Town Center is located east of Interstate 5, in downtown Wilsonville. The center has direct access to I-5, and is also serviced by WilsonvilleÕs own Transit service, SMART, and by bus into the Portland area, a shuttle that runs between Wilsonville and Salem during the week and a Westside Express Service (WES) commuter rail stop located just outside of the center. The center has 1,292 residents, 2,110 employees and 662 dwelling units. Wilsonville Town Center contains 230 gross acres."
Typology,,Hillsdale,1,0,0,1,0,1,0,1,1,0,2,1,2,0,14,2,0,0,0,1,2,14%,23%,13%,27%,18%,5%,7%,14%,15%,21%,15%,28%,778,2.10,"$54,436",34.1,35.5%,16.7,5.8,N/A,342,50,67,389,N/A,108,,2.08,"$64,446",40.0,55.4%,,,,,38,,,,4.22,2.7,3.35,2.73,1.81,1.95,2.56,43.99,,,,
Typology,,Clinton,1,6,1,0,0,0,1,3,2,0,0,0,3,3,13,1,0,0,0,0,1,7%,12%,24%,26%,8%,23%,11%,18%,19%,24%,14%,14%,774,1.97,"$50,126",34.1,42.1%,45.2,11.0,N/A,945,102,38,417,N/A,60,,2.01,"$52,067",35.8,37.6%,,,,,76,,,,4.69,2.67,4.14,3,5,2.43,4.5,69.56,,,,
Typology,,Westmoreland,0,2,0,1,0,0,1,2,2,0,2,0,1,0,18,1,0,0,0,0,0,24%,23%,15%,17%,8%,13%,10%,19%,17%,22%,14%,18%,508,1.76,"$47,567",42.6,52.1%,29.9,8.2,N/A,629,120,38,312,N/A,55,,2.09,"$54,681",38.6,49.5%,,,,,39,,,,4.68,2.32,4.55,2.82,4.82,2.66,3.92,68.7,,,,
Typology,,Lloyd/Irvington,3,1,0,1,,3,2,37,11,6,3,3,2,2,58,4,0,1,0,0,1,30%,24%,12%,12%,8%,14%,15%,20%,15%,18%,12%,20%,3202,1.55,"$48,433",37.8,19.5%,75.5,9.1,N/A,15818,200,252,2282,N/A,294,,1.86,"$49,440",39.2,37.5%,,,,,136,,,,4.13,3.21,4.58,3.52,4.67,3.03,3.9,71.56,,,,
Typology,,Nob Hill,5,11,3,1,2,2,2,28,11,0,4,3,8,1,92,1,0,1,0,1,4,13%,19%,19%,20%,14%,15%,27%,23%,13%,13%,8%,16%,8467,1.38,"$37,181",33.7,10.4%,94.4,27.3,N/A,13716,210,235,6425,N/A,358,,1.43,"$35,254",38.3,18.6%,,,,,135,,,,4.67,2.74,4.59,3.81,4.98,3.34,4.27,76.24,,,,
Typology,,DT and the Pearl,4,23,1,7,5,10,7,71,48,7,20,22,16,4,281,10,0,1,1,1,17,11%,24%,20%,20%,11%,14%,24%,22%,14%,15%,9%,16%,16316,1.28,"$27,000",37.2,13.6%,232.6,30.8,N/A,79750,573,413,12725,N/A,754,,1.48,"$37,868",38.1,20.2%,,,,,160,,,,4.92,3.51,4.74,4.08,4.3,3.53,4.31,80.09,,,,

