TYPE,STATUS,NAME,Bakery,Bar,Bike Shop,Bookstore,Brewpub,Child Care,Cinema,Clothing Store,Coffee Shop,Department Store,Dry Cleaners,Fitness Gym,Grocery Store,Music Store,Restaurant,Specialty Snacks & Beverages,Community Center,Fire Station,Govt. Building,Library,School,<$15000,$15000-$34999,$35000-$49999,$50000-$74999,$75000-$99999,$100000 +,1 mile <$15000,1 mile $15000-$34999,1 mile $35000-$49999,1 mile $50000-$74999,1 mile $75000-$99999,1 mile $100000 +,total_pop,avg_HH_size,med_HH_income,med_age,pct_home_ownership,people_per_acre,du_per_acre,total_biz_acre,total_num_employees,market_value,net_acreage,total_du,total_biz,gross_acreage,total_pop 1-mile,avg_HH_size 1-mile,med_HH_income 1-mile,med_age 1-mile,pct_home_ownership 1-mile,people_per_acre 1-mile,du_per_acre 1-mile,total_biz_acre 1-mile,total_num_employees 1-mile,market_value 1-mile,net_acreage 1-mile,total_du 1-mile,total_biz 1-mile,Parks Access,Transit Access,Bike route density,People per acre,Sidewalk density,Private amenities,Block Size,Composite Score,retail,service,other,Narrative,extent,Non_SOV
Town Center,Adopted,Raleigh Hills,0,1,0,0,0,0,0,2,0,0,2,2,1,3,7,0,0,0,0,0,0,12.30%,20.30%,12.70%,14.70%,10.00%,30.00%,10.60%,18.20%,10.30%,12.30%,11.20%,37.40%,1219,1.88,56150,44.5,37.90%,9.3,5.2,2,1047,37,131,686,261,153,23039,2.22,71305,45,55.60%,7.1,3.3,0.1,1072,28,3265,10863,413,4.51,1.94,2.01,2.71,2.18,2.06,1.32,35.4,49,41,10,"The Raleigh Hills Town Center is located at the intersection of the Beaverton- Hillsdale Highway, an ODOT facility, and Scholls Ferry Road in unincorporated Washington County, adjacent to Portland. The center is served by three separate bus lines, two of which are frequent service. It has 1,599 residents, 1,800 employees and 948 dwelling units. Raleigh Hills Town Center contains 153 gross acres.","-122.757639,45.483415,-122.734725,45.489752",52%
Town Center,Adopted,Rockwood,1,8,1,0,0,2,0,6,0,0,2,3,9,1,35,1,0,0,0,1,7,29.50%,26.60%,14.60%,14.30%,8.10%,7.00%,20.40%,24.40%,15.10%,18.40%,10.60%,11.10%,17112,2.93,32686,30.3,31.00%,108.3,9.9,1.4,806,29,158,6164,215,197,67564,2.7,40019,33.9,43.40%,21.8,4.7,0.6,5951,20,3103,26195,1764,4.27,2.07,4,2.79,2.68,2.44,1.7,46.76,56,28,16,"The Rockwood Town Center is located along the Eastside MAX line in Gresham. The center is bisected by two major arterials, Burnside and Stark streets. Two separate MAX stops are within the town center boundaries, as well as two bus lines along Stark Street and 182nd Avenue. The center has 16,456 residents, 2,264 employees and 6,278 dwelling units. Rockwood Town Center contains 1,029 gross acres.","-122.49807,45.514066,-122.455099,45.532928",56%
Town Center,Not Adopted,Sherwood,0,0,1,1,0,1,0,0,0,1,1,4,1,2,10,1,0,0,0,0,1,4.80%,5.60%,15.30%,16.90%,13.70%,43.50%,5.30%,12.00%,11.00%,16.90%,16.10%,38.80%,307,2.46,86484,33.1,72.10%,3.5,1.5,0.9,865,27,87,129,82,109,13493,2.8,81042,35.3,67.00%,4.3,1.6,0.9,17767,11,3104,4963,2836,4.88,1.68,3,2.26,2.95,2.69,1.75,44.19,66,29,5,"The Sherwood Town Center is located at the junction of Highway 99 West, an ODOT facility, and Tualatin-Sherwood Road. Sherwood has no direct interstate access. One bus line services the town center and continues to the Old Town portion of downtown Sherwood. Sherwood has 138 residents, 1,325 employees and 69 dwelling units. Sherwood Town Center contains 109 gross acres.","-122.852625,45.364087,-122.836199,45.371289",57%
Town Center,Adopted,St. Johns,1,5,1,2,0,0,2,1,0,0,0,1,5,3,16,1,0,0,0,0,1,23.90%,22.70%,17.90%,18.30%,6.40%,10.80%,15.80%,25.30%,16.40%,20.50%,10.70%,11.30%,488,1.95,37057,37.2,42.60%,11.1,6.6,5,841,59,44,289,222,70,18372,2.44,41841,35.4,50.80%,9.1,4,0.6,5758,22,2010,8083,1255,4.95,3.7,3.79,2.98,4.93,3.53,4.63,77.06,32,35,34,"The St. Johns Town Center is located in North Portland, adjacent to the Willamette River. St. Johns has no direct interstate access, but can access U.S. Highway 30 by crossing the Willamette River at the St. Johns Bridge. The area is served by five bus lines, including one frequent service line, allowing for multiple transportation options both in and out of the center. St. Johns has 437 residents, 857 employees and 219 dwelling units. St. Johns Town Center contains 70 gross acres.","-122.7588,45.587518,-122.748098,45.594032",57%
Town Center,Not Adopted,Sunset Transit,0,1,0,0,0,0,0,0,0,0,1,6,2,0,5,0,0,0,0,0,0,6.30%,17.10%,10.40%,14.40%,20.20%,31.60%,8.50%,15.60%,10.70%,16.00%,14.20%,35.10%,1603,1.92,76547,33.5,30.90%,7.6,4.1,1.5,6163,39,210,855,320,262,25773,2.25,73539,38.7,52.40%,7.7,3.7,1,11686,27,3359,12444,3467,4.34,1.77,2.83,2.31,2.26,1.72,1.55,35.62,4,90,6,"The Sunset Transit Town Center in unincorporated Washington County, adjacent to Beaverton, is located at the intersection of several major arterials including Barnes Road, Highway 26, Highway 217 and the MAX. The Sunset Transit Center serves as a transportation hub for the north portion of Washington County and northwest Portland. As a transit center, the area is serviced by multiple bus lines and both Blue and Red Line MAX trains. The center has 1,940 residents, 6,220 employees and 879 dwelling units. Sunset Transit Town Center contains 262 gross acres.","-122.791875,45.508147,-122.77108,45.520039",51%
Town Center,Adopted,Tigard,0,2,5,0,0,3,3,3,0,0,2,2,1,3,18,1,1,1,1,0,3,17.60%,26.20%,17.80%,17.20%,6.80%,14.40%,11.00%,16.70%,11.30%,17.00%,11.70%,32.30%,2388,2.35,39072,32.5,21.30%,4.3,1.9,1.8,7100,26,555,1068,978,702,39338,2.44,64007,37.8,53.90%,7.5,3.2,0.3,8253,27,5254,16910,1438,4.21,1.65,4.06,2.21,2.11,1.63,1.62,38.08,15,43,42,"The Tigard Town Center includes the newly added Tigard Triangle area to the existing town center. The center is focused around the ODOT facility of Highway 99 West and has been chosen as the priority corridor for a study of future high capacity transit expansion in the region. The center is serviced by multiple bus lines and is home to a TriMet transit center and a Westside Express Service (WES) commuter rail station. The center has 1,923 residents, 6,876 employees and 944 dwelling units. Tigard Town Center contains 702 gross acres.","-122.776989,45.421738,-122.7437,45.443006",49%
Town Center,Adopted,Troutdale,0,2,1,1,0,0,0,15,0,0,0,2,2,0,4,0,0,0,1,0,1,10.50%,26.30%,16.70%,23.90%,9.30%,13.40%,7.50%,20.50%,14.40%,23.50%,13.80%,20.20%,1149,2.37,45951,33.5,45.50%,3.3,1.5,0.5,796,15,343,517,157,418,18434,2.87,55738,32.8,57.10%,4.3,1.6,0.3,5368,11,4289,6682,1169,4.41,1.46,3.46,1.68,2.02,1.5,1.68,33.56,64,11,25,"The Troutdale Town Center is located at the eastern end of the region. The center includes a historic main street in downtown Troutdale as well as a significant portion of land west of downtown. The center has direct access to Interstate 84 and contains the historic Columbia River Highway, an ODOT facility. The center has 1,924 residents, 775 employees and 853 dwelling units. Troutdale Town Center contains 418 gross acres.","-122.41183,45.534648,-122.377007,45.544427",51%
Town Center,Adopted,Tualatin,1,4,0,0,0,1,0,3,0,0,3,3,4,2,16,1,1,1,1,1,3,17.40%,32.30%,17.00%,18.80%,8.80%,5.70%,9.50%,22.10%,12.20%,17.30%,12.90%,26.00%,3093,2.34,35206,29.4,13.30%,7.8,3.6,1.5,4115,27,395,1406,573,462,21039,2.49,56869,35.9,48.00%,5.4,2.3,1.6,39045,20,3909,8955,6214,4.75,1.33,3.96,2.57,2.36,1.88,1.3,40.43,25,44,32,"The Tualatin Town Center is located at the intersection of Tualatin-Sherwood and Boones Ferry roads, both major arterials. The center is serviced by multiple bus lines and has a stop on the Westside Express Service (WES) commuter rail line. The center has 3,636 residents, 3,332 employees and 1,660 dwelling units. Tualatin Town Center contains 462 gross acres.","-122.775089,45.375375,-122.751821,45.387274",50%
Town Center,Not Adopted,West Linn,0,1,1,0,0,3,0,2,0,0,0,5,3,1,18,2,0,2,0,1,5,5.50%,12.90%,11.30%,15.20%,11.00%,44.10%,8.30%,14.80%,10.90%,17.20%,11.30%,37.60%,1974,2.44,85089,41.9,74.60%,6,2.6,1.7,1960,26,328,843,567,462,29361,2.5,72778,40.9,63.60%,5,2.1,0.1,1899,16,5880,12290,755,4.84,1.12,2.33,1.89,1.72,1.95,2.79,35.11,37,33,30,"The West Linn town centers are represented by two distinct geographic locations, Bolton and Historic Willamette. Both locations are served by Interstate 205, an ODOT facility. Both centers are also serviced by bus lines. The centers have a combined total of 2,492 residents, 1,620 employees and 896 dwelling units. West Linn town centers contain a combined total of 462 gross acres, 274 in Bolton and 188 in Historic Willamette. Metro context tool results and center boundary map (p. 105) are specific to Historic Willamette. All other data reflect both Historic Willamette and Bolton locations.","-122.659604,45.339779,-122.606162,45.372827",54%
Town Center,Not Adopted,West Portland,0,1,2,0,0,6,0,0,0,0,2,4,3,3,8,1,0,0,0,1,2,10.70%,19.50%,12.70%,17.20%,18.20%,21.80%,8.40%,14.70%,10.30%,16.50%,15.10%,35.10%,3192,2.24,58179,34.5,40.60%,14.1,6.8,2.3,2251,37,227,1548,525,339,30555,2.26,75157,40.5,60.00%,8.5,4,1,22817,31,3598,14295,3594,4.72,2.18,2.94,2.41,1.43,2.06,2.62,41.14,16,53,31,"The West Portland Town Center is located at the interchange of Highway 99 West. The majority of service activity in the center revolves around Capital Highway and businesses located along Barbur Boulevard. The center is bisected by two ODOT facilities: Interstate 5 and Highway 99 West. The area is serviced by multiple bus lines, with one frequent service line along Barbur Boulevard. It has 2,880 residents, 3,820 employees and 1,489 dwelling units. West Portland Town Center contains 339 gross acres.","-122.733448,45.444669,-122.710439,45.458675",53%
Town Center,Adopted,Wilsonville,1,1,0,0,0,3,1,0,0,0,2,1,2,2,14,0,0,0,1,1,1,8.10%,26.60%,12.80%,18.40%,13.40%,20.70%,11.30%,21.30%,12.20%,14.30%,13.90%,27.00%,1398,1.99,52272,33.7,26.90%,7.4,4,1.4,2366,31,190,755,269,230,13983,2.25,57227,38.5,43.10%,4.6,2.2,0.2,3384,17,3047,6660,708,4.87,1.95,3.17,2.46,2.73,2.23,1.15,41.83,46,35,20,"The Wilsonville Town Center is located east of Interstate 5, in downtown Wilsonville. The center has direct access to I-5, and is also serviced by Wilsonville’s own Transit service, SMART, and by bus into the Portland area, a shuttle that runs between Wilsonville and Salem during the week and a Westside Express Service (WES) commuter rail stop located just outside of the center. The center has 1,292 residents, 2,110 employees and 662 dwelling units. Wilsonville Town Center contains 230 gross acres.","-122.769432,45.29846,-122.758705,45.309257",56%
